home_avg_pts_last_5,home_winrate_last_5,home_home_winrate_last_5,home_home_games_last_5,away_avg_pts_last_5,away_winrate_last_5,away_away_winrate_last_5,away_away_games_last_5,home_elo,away_elo,elo_diff,label
121.0,0.4,0.3333333333333333,3,109.8,0.8,1.0,2,1491.361290368388,1490.289252434765,1.0720379336228234,0
114.4,0.4,0.0,0,105.4,0.8,0.75,4,1508.611567339764,1490.572734678542,18.03883266122193,1
122.0,0.6,1.0,3,97.6,1.0,1.0,4,1546.3988443472924,1471.7208570698353,74.67798727745708,1
116.8,0.4,0.3333333333333333,3,121.8,1.0,1.0,2,1490.8444433977809,1510.0311843097504,-19.186740911969537,0
114.4,0.6,1.0,3,116.4,0.8,0.0,0,1539.927041468779,1528.8929495226496,11.034091946129365,1
108.2,0.4,0.25,4,112.4,0.8,0.5,2,1470.9370257088942,1528.8964313319636,-57.959405623069415,0
115.6,0.6,0.5,2,110.0,0.8,0.0,0,1489.7124808188837,1526.9367654321707,-37.224284613286954,1
119.0,0.4,0.0,0,102.0,0.4,0.6666666666666666,3,1515.0842445846706,1473.0157855083962,42.068459076274394,0
114.6,0.4,0.3333333333333333,3,110.2,0.6,0.6666666666666666,3,1480.9930928560673,1500.3201080689057,-19.327015212838432,0
113.0,0.6,0.6666666666666666,3,118.2,0.6,0.3333333333333333,3,1510.5437575754056,1528.0163166579648,-17.4725590825592,0
115.6,0.6,0.5,4,107.2,0.6,0.3333333333333333,3,1501.0462347193527,1537.2435300891611,-36.197295369808444,0
108.6,0.4,0.25,4,103.2,0.2,0.5,4,1472.1604886912467,1484.2207302614884,-12.060241570241715,0
103.8,0.8,1.0,2,114.6,0.4,0.5,2,1507.0886205052823,1481.3961214935466,25.692499011735663,1
113.4,0.6,1.0,1,114.2,0.6,0.5,2,1518.0928340291848,1509.160158948967,8.932675080217905,0
118.6,0.6,0.6666666666666666,3,115.0,0.8,1.0,1,1500.7798010527358,1519.2104294870503,-18.430628434314485,1
124.0,0.8,1.0,3,106.2,0.8,1.0,1,1519.4795062139847,1515.8694451983185,3.6100610156661332,0
124.6,0.8,1.0,2,105.8,0.4,1.0,1,1520.1996246362776,1462.5899269516967,57.60969768458085,1
115.2,0.4,0.0,1,107.6,0.8,1.0,4,1503.8792998315785,1444.140127311355,59.73917252022352,1
98.8,0.4,0.0,2,106.8,0.4,0.5,4,1474.3288931362836,1509.7644049319172,-35.4355117956336,0
100.2,0.4,0.25,4,118.4,0.6,0.3333333333333333,3,1471.5487959930558,1549.6095615043782,-78.06076551132242,0
121.2,0.6,0.75,4,116.0,0.8,0.3333333333333333,3,1509.3756040447088,1535.9631986672634,-26.58759462255466,0
105.4,0.4,0.5,2,121.2,0.6,0.0,2,1506.5186393635756,1554.2819390657023,-47.76329970212669,0
109.0,0.8,0.6666666666666666,3,108.6,0.8,1.0,3,1491.6181963637669,1470.603304645676,21.014891718090894,1
109.0,0.6,0.8,5,114.6,0.6,0.25,4,1525.9733473675944,1545.1994364902932,-19.226089122698795,0
106.2,0.2,0.0,2,109.2,0.4,1.0,1,1493.8737479582176,1462.5074709945175,31.366276963700102,1
121.6,0.6,1.0,2,113.8,0.6,0.4,5,1537.5138395140177,1507.8357876082782,29.678051905739494,1
107.2,1.0,1.0,2,125.2,0.8,0.5,4,1475.3860503058888,1528.556515427725,-53.17046512183606,0
98.4,0.6,0.0,4,108.4,0.4,0.5,2,1443.8742623785456,1492.08432341897,-48.21006104042431,0
112.2,0.8,0.8,5,109.0,0.6,0.6666666666666666,3,1508.6804503943063,1472.1342660473936,36.546184346912696,1
113.2,1.0,1.0,2,121.8,0.4,0.3333333333333333,3,1491.077001139336,1519.4172053698735,-28.340204230537438,0
112.8,0.8,0.75,4,106.2,0.4,1.0,2,1511.30978014548,1454.2330361602494,57.07674398523068,1
104.8,1.0,0.0,2,112.0,0.4,0.25,4,1435.8428122439586,1546.205441389544,-110.36262914558529,0
116.8,0.6,0.5,2,110.2,0.8,1.0,4,1512.1766148989748,1461.2074253006683,50.96918959830646,1
100.4,0.8,1.0,3,117.4,0.6,0.5,2,1516.3504759514353,1491.3550335693662,24.995442382069086,1
109.8,0.8,0.6666666666666666,3,127.2,0.6,0.4,5,1466.9045829525235,1537.0379827810902,-70.13339982856678,1
103.0,0.4,0.3333333333333333,3,116.8,0.6,0.25,4,1497.8847821923591,1557.3998494254854,-59.515067233126274,0
97.0,0.2,0.2,5,120.0,0.4,0.6666666666666666,3,1463.7585080719487,1500.139366221679,-36.38085814973033,0
112.2,1.0,0.75,4,118.4,0.4,0.0,3,1501.0140757087745,1562.9157962369188,-61.901720528144324,1
94.2,0.4,0.0,5,113.6,0.8,0.8,5,1435.2530218187926,1481.8908934794879,-46.63787166069528,1
95.8,0.4,0.0,3,101.8,0.8,1.0,5,1465.3452873186002,1428.916609783029,36.428677535571296,1
109.6,0.8,0.8,5,112.8,0.6,0.6,5,1519.6816001878108,1498.687919052652,20.993681135158795,1
114.4,0.4,1.0,3,123.4,0.2,0.25,4,1554.6466293158917,1528.6033130297217,26.04331628617001,1
100.4,0.4,0.2,5,124.8,0.6,0.25,4,1445.8612161179187,1546.661708069644,-100.80049195172523,0
113.4,0.4,1.0,4,111.6,0.8,1.0,5,1551.1527374465174,1452.66400235951,98.4887350870074,0
106.6,0.6,0.2,5,119.0,0.6,0.2,5,1453.4078202844787,1565.7034284465758,-112.2956081620971,0
108.8,0.4,0.3333333333333333,3,107.0,0.4,0.4,5,1502.9733986682563,1518.7480107496006,-15.77461208134423,0
